genres,popularity,revenue,runtime,vote_average
War,38.10452659274418,181751766.56115246,107.01248630757897,6.302164419985783
Family,36.550265778988624,158435257.5670391,108.68052997473431,6.313562442960937
TV Movie,36.550265778988624,158435257.5670391,108.68052997473431,6.313562442960937
Fantasy,36.550265778988624,158435257.5670391,108.68052997473431,6.313562442960937
Western,36.550265778988624,158435257.5670391,108.68052997473431,6.313562442960937
Animation,36.550265778988624,158435257.5670391,108.68052997473431,6.313562442960937
Crime,36.550265778988624,158435257.5670391,108.68052997473431,6.313562442960937
Adventure,38.93761029215142,168738819.26874277,111.48938455489389,6.386947667365681
History,39.57911713807784,170370300.85369143,111.67098499590666,6.349992181910761
Music,36.550265778988624,158435257.5670391,108.68052997473431,6.313562442960937
Foreign,36.550265778988624,158435257.5670391,108.68052997473431,6.313562442960937
Action,36.550265778988624,158435257.5670391,108.68052997473431,6.313562442960937
Drama,36.550265778988624,158435257.5670391,108.68052997473431,6.313562442960937
Mystery,36.550265778988624,158435257.5670391,108.68052997473431,6.313562442960937
Romance,36.550265778988624,158435257.5670391,108.68052997473431,6.313562442960937
Thriller,36.550265778988624,158435257.5670391,108.68052997473431,6.313562442960937
Documentary,36.550265778988624,158435257.5670391,108.68052997473431,6.313562442960937
Comedy,36.550265778988624,158435257.5670391,108.68052997473431,6.313562442960937
Horror,45.98010206444542,188689662.2411482,109.28318754545637,6.334232986618424
Science Fiction,36.550265778988624,158435257.5670391,108.68052997473431,6.313562442960937
