popularity,revenue,runtime,vote_average,countries
46.94840086711384,222554521.07972088,112.62577504751432,6.20059715561753,Czech Republic
58.28416005369129,320924911.0402685,117.28187919463087,6.500671140939595,Iceland
51.77185578902956,244234342.37130803,113.37130801687763,6.208016877637131,Bulgaria
51.77185578902956,244234342.37130803,113.37130801687763,6.208016877637131,Malta
51.77185578902956,244234342.37130803,113.37130801687763,6.208016877637131,Bosnia and Herzegovina
51.552524460000015,240722412.24,110.44,6.311999999999999,Russia
63.21683693939396,205264103.0959596,102.72222222222223,6.501767676767676,Finland
36.02877046522022,141803925.20669022,115.89590552850521,6.587422687195684,Italy
48.393841601486464,233098244.41306144,114.05128324992747,6.372083847034067,China
58.28416005369129,320924911.0402685,117.28187919463087,6.500671140939595,Thailand
34.77182278287361,182214828.46597245,107.87072116982385,6.588656253461839,Hong Kong
27.484981690196093,78828462.40915033,105.93235294117648,6.246666666666668,Austria
31.88096502508041,115278779.53895307,112.34939617947141,6.418722472193332,United Arab Emirates
58.28416005369129,320924911.0402685,117.28187919463087,6.500671140939595,Bahamas
40.08649366162629,176921175.71967068,104.89244597433999,6.348348754765368,Belgium
24.57267781361106,86078403.4188093,108.72814145113298,6.355542839703979,Netherlands
35.58060638980725,133963755.72986956,108.41200463307685,6.2337834036568225,South Korea
58.28416005369129,320924911.0402685,117.28187919463087,6.500671140939595,Bolivia
27.484981690196093,78828462.40915033,105.93235294117648,6.246666666666668,Switzerland
37.65692541658992,164500331.21385854,116.01552835899459,6.616563582927579,Brazil
27.343308098039238,86288041.30065359,115.38235294117646,6.674509803921572,Ecuador
42.52624422711144,219762225.78606734,108.22232236735074,6.332442609321097,South Africa
38.89724060889002,158805689.2481479,109.55630345436695,6.234976096217457,Spain
58.28416005369129,320924911.0402685,117.28187919463087,6.500671140939595,Bhutan
31.36405065692019,108908409.60648842,114.10776197693336,6.463303166412605,Mexico
51.77185578902956,244234342.37130803,113.37130801687763,6.208016877637131,Indonesia
38.10452659274418,181751766.56115246,107.01248630757897,6.302164419985783,Australia
34.4616136805801,142311454.87873656,113.46521841961483,6.491900444249914,India
58.28416005369129,320924911.0402685,117.28187919463087,6.500671140939595,Jamaica
44.59290748225567,206793039.42778024,110.19188041754926,6.259070243308759,Japan
21.888892952219972,69396314.64274661,107.53549695740365,6.429204417399145,Denmark
47.80559682420634,234635147.05085358,113.1880909354521,6.377492185270622,New Zealand
39.99365257258635,169098669.28127578,110.8184089487966,6.3074868350665785,Canada
36.65612216699122,138198535.19507775,104.71549695740366,6.007975659229209,Norway
37.4138029449509,160124942.98798028,111.2050458953089,6.325295478092408,France
39.57911713807784,170370300.85369143,111.67098499590666,6.349992181910761,Germany
24.57267781361106,86078403.4188093,108.72814145113298,6.355542839703979,Greece
27.343308098039238,86288041.30065359,115.38235294117646,6.674509803921572,Iran
38.93761029215142,168738819.26874277,111.48938455489389,6.386947667365681,United Kingdom
45.98010206444542,188689662.2411482,109.28318754545637,6.334232986618424,Ireland
36.550265778988624,158435257.5670391,108.68052997473431,6.313562442960937,United States of America
