year,month,revenue
2010,1,160669959
2010,2,668860396
2010,3,2074370553
2010,4,1202429291
2010,5,1525020145
2010,6,2837580736
2010,7,2305579111
2010,8,1171778624
2010,9,1571729949
2010,10,740910484
2010,11,1121473858
2010,12,1966707493
2011,1,632994363
2011,2,1041128907
2011,3,1469496935
2011,4,2121348748
2011,5,2904425556
2011,6,2201144055
2011,7,1620704218
2011,8,1134166496
2011,9,1404590567
2011,10,774050371
2011,11,1655686295
2011,12,1980697814
2012,1,891422539
2012,2,622933413
2012,3,1499979397
2012,4,2098383349
2012,5,2023564013
2012,6,3066041966
2012,7,1167905251
2012,8,822064106
2012,9,1112853809
2012,10,1506655797
2012,11,2408462343
2012,12,1306398105
2013,1,607325153
2013,2,652389626
2013,3,1181105462
2013,4,1688187829
2013,5,2401510
2013,6,2335513725
2013,7,2002414152
2013,8,761035566
2013,9,999473333
2013,10,1070417992
2013,11,2205246966
2013,12,1924765871
2014,1,468859843
2014,2,499960923
2014,3,2214951029
2014,4,807308778
2014,5,1915251443
2014,6,2599614325
2014,7,899875454
2014,8,862416735
2014,9,470040240
2014,10,1587392531
2014,11,2043709869
2014,12,2660463583
2015,1,233825738
2015,2,1264079480
2015,3,1312023109
2015,4,3052943907
2015,5,1058690606
2015,6,3986461264
2015,7,1675016734
2015,8,580657393
2015,9,1621835675
2015,10,1231566359
2015,11,1757462128
2015,12,1432317527
